Date,Day,Number of pages,Pages scraped,Number of articles,Section,Titles by page,Number of titles scraped on this page
2001/01/04,星期四,12,1,143,要闻,"['统揽全局  把握重点', '世纪曙光  美好未来', '加大治本力度  狠抓工作落实  取得反腐败斗争的新成效', '改造低产田  冬闲人不闲', '我国证券市场扩张迅速  去年筹资总量1417亿元', '宋照肃同志任甘肃省委书记', '邯郸推进农村“三个代表”重要思想教育', '柴达木盆地原油年产创新高', '云南渔洞水库枢纽工程竣工', '青岛建成新型建材工业园', '天生桥二级水电站投产发电', '宣大高速公路全线通车', '北京地区天气预报']",13
2001/01/04,星期四,12,2,143,国内要闻,"['图片报道', '黄山纪念入选世界遗产十周年', '辅导债转股企业上市', '提高保险金入市比例', '因车延误可获赔  旅客维权有保障', '医院营利有区别  病人投医须慎重', '科技手段助判案  心理测试作参考', '超市兴起抄价族  正当竞争应提倡', '全国打假办公布9起棉花掺假大案', '六省区实行财政直接拨付']",10
2001/01/04,星期四,12,3,143,国际,"['企盼祖国早日统一', '美巴峰会未获突破', '追赶现代化', '阿拉法特美国行', '布什完成组阁', '图片报道', '叙利亚总统喜结良缘', '干干净净辞旧岁', '平平淡淡迎新年', '美经济进入“慢车道”', '印巴在克什米尔交火', '印北部地区大范围停电', '图片报道', '注重环保促发展', '华尔街股市开年重挫', '亚行调整贷款利率', '欧佩克油价继续下跌', '法央行行长看好欧元', '加实施因特网隐私法']",19
2001/01/04,星期四,12,4,143,要闻,"['继续深入开展“百城万店无假货”活动', '公正与效率是21世纪法院工作主题', '司法救助：让贫弱者打得起官司', '村里举行“听政会”', '滑县林场遭盗伐  浚县政府不认账', '干部进村解民忧', '衣食送进灾民家', '图片报道', '图片报道', '吉林国际雾凇冰雪节开幕', '易贡灾区通麦悬索桥通车', '桂林“乐满地”休闲世界开园', '载人高温超导磁悬浮实验车问世', '“古文诵读”交流汇演举行', '云南查办54名厅、县处级干部', '张少庭同志逝世', '熊飞同志逝世', '明天气象预报']",18
2001/01/04,星期四,12,5,143,国民经济,"['丙烯酸酯案反倾销调查有规可循', '动物也要讲卫生', '全国电网将互联', '出口能否“开门红”？', '湖北地税收入超120亿元', '网上举办博览会', '中国土地学会成立20周年', '中国期货业协会成立', '图片报道', '国家经贸委推广无机传热技术', '交通部救捞系统加强春运安全生产', '中国地质环境监测院成立', '北京三晋农副产品市场开张', '临淄地税局超额完成税收任务', '莱州地税大力抓税款入库', '中国企业将参展欧洲机床博览会', '唐山农行实施客户经理制', '“人民大会堂”国宴酒诞生', '健康产业市场发展委员会成立']",19
2001/01/04,星期四,12,6,143,教育·科技·文化,"['两院院士获赠《经济日报》', '新教育系列论坛举办', '生命科学与高教座谈会召开', '《现代教育报》创刊', '后勤先行', '在“服务”上做文章', '广厦千万间  园丁俱欢颜', '留学人员的多维舞台', '重庆把群众满意作为医改标尺', '不信蓝天唤不回', '科技界要力戒浮夸', '图片报道', '福建善待万寿岩', '我国地震观测进入“数字时代”']",14
2001/01/04,星期四,12,7,143,要闻,"['加大治本力度  狠抓工作落实  取得反腐败斗争的新成效', '世纪曙光  美好未来']",2
2001/01/04,星期四,12,8,143,体育,"['全国青少年篮球业余俱乐部赛开战', '八一大胜奥神  上海击败广东', '市民体质监测车驶上申城街头', '申办二○○八年奥运会程序', '奔向新世纪', '红塔杯全国新闻界网球邀请赛收拍', '首都记者桥牌赛举行', '水晶宫队看中孙继海李明', '以全民健身带动精神文明建设', '山东省田径队喜获支持', '大运会海外火种运抵北京']",11
2001/01/04,星期四,12,9,143,理论,"['担子重  责任大', '县域经济发展中的问题与对策', '带民富·聚民力·顺民心', '探索机关思想作风建设的规律和方法', '经济全球化趋势下的中华文化走向']",5
2001/01/04,星期四,12,10,143,读者来信,"['新世纪  新起点', '自食苦果', '百姓缘何不看病', '堵源疏流治顽症', '日历成了迷信品', '吹鼓手行当该管管', '不能忘记党的根本宗旨', '出国与出丑', '山西陵川县六千吨桔梗待售', '新郑高速路  安全隐患多', '审批宅基地  不该乱收费', '手机传信息  应文明健康', '山里娃  苦读书  读书苦']",13
2001/01/04,星期四,12,11,143,党的生活,"['赛场选将', '让优秀人才脱颖而出', '让“赛场”多起来', '图片报道', '西部铁路实干家', '找准农村党建切入点', '把政治优势转化为经济效益', '图片报道', '致读者']",9
2001/01/04,星期四,12,12,143,大地·文化纵横,"['电视与少儿有多远', '与亲人云路迢迢心相望', '盼望电影多下乡', '文化下乡  送建结合', '图片报道', '八旬马金凤今晚“出征”', '冯瑞丽：三年五个大奖', '中国文化艺术网文学频道开通', '军地一家 爱我中华', '图片报道']",10
2001/01/05,星期五,12,1,129,要闻,"['狠抓落实  乘势前进', '北京地区天气预报', '去年全国税收12660亿元', '江泽民《关于改进党的作风》单行本出版', '图片报道', '突出重点  查深查透', '全面推进医药卫生体制改革  让职工群众享有更好的医疗服务', '钱运录同志任贵州省委书记', '宣威发电公司八号机组投产', '南钢集团去年利润增长两倍', '长安年产汽车突破二十万辆', '新航运输安全飞行四十六年', '我国跻身世界钢琴生产大国', '多行不义必自毙']",14
2001/01/05,星期五,12,2,129,国内要闻,"['人民网今日改版', '一千五百多项成果获国防科技奖', '去年全国10万多个单位接受审计', '两院院士评出中外十大科技进展', '价格督查显威力', '冷的边关热的兵', '“园丁”也须持证上岗', '两院院士增选工作开始', '努力提高国防科技工业整体水平']",9
2001/01/05,星期五,12,3,129,国际,"['美新一届国会开始运作', '去年全球二十六名记者殉职', '巴否认巴印军队交火', '挪海湾参战老兵疾病缠身', '英特尔推出更快赛扬芯片', '菲逮捕十七名爆炸嫌疑人', '格林斯潘下猛药', '更新观念发展经济', '面向新世纪', '希腊总统会见傅全有', '否认萨达姆健康恶化', '海合会凸显时代感', '阿拉法特有条件同意美建议  阿拉伯国家支持巴合法权利', '图片报道', '文化多样性是人类财富', '美联储突然降息']",16
2001/01/05,星期五,12,4,129,要闻,"['明天气象预报', '图片报道', '江泽民接受两国大使国书', '徒步深山访贫苦', '西吉公路建设造福回族群众', '外交部发言人答记者问', '神仙也“上班”吗？', '钱其琛接受美记者采访', '中国民事警察将赴波黑执行维和任务', '以真诚赢得信誉  用信誉保证效益', '工会元旦春节期间送温暖活动启动']",11
2001/01/05,星期五,12,5,129,国民经济,"['春运火车票价上浮方案已定', '铁路春运运力安排就绪', '“突破口”意义深远', '纺织突破口三年大见成效', '春运：铁路要打服务牌', '税收缘何增长快', '整顿粮食收购市场监管执法行为', '证券印花税年收入四百七十八亿元', '我国调低行邮税税率', '中煤集团出口大幅增长', '山西打击“土炼油”初战告捷', '“十五”电力需求平均增长5％—6％', '2001年国债还本付息即将开始', '秦皇岛港超额完成全年任务', '龙丰产品获绿色食品证书', '基和3DDS技术在韩国登陆', '美企新社注资新华财经', '开放架构单芯片发布', '新经济金融服务报告会举行', '企业管理挑战赛决出名次', '华凌苏宁联手开拓家电市场', '全顺线材总厂狠抓质量管理', '进一步完善税收制度', '图片报道', '图片报道']",25
2001/01/05,星期五,12,6,129,政治·法律·社会,"['关爱和廉政台历一并送上', '加强和改进社区思想政治工作', '警钟与世纪洪钟一同敲响', '图片报道', '全军院校改革政治理论课教学', '空军后勤“三面向”推动部队建设', '领海线上迎新年', '开会能算政绩？', '鸡蛋碰了石头', '《王树声军事文选》出版发行', '人事部发布两资格考试合格标准', '三军仪仗队接受新型指挥刀', '北京铁路公安整肃站车秩序', '武警新疆总队组织带病官兵疗养', '北戴河市场加大监督管理力度', '《正步走过天安门》报告文学集出版']",16
2001/01/05,星期五,12,7,129,要闻,"['全面推进医药卫生体制改革  让职工群众享有更好的医疗服务', '多行不义必自毙']",2
2001/01/05,星期五,12,8,129,体育,"['世纪豪决', '张璇杨晖杀入决赛', '大学生篮球联赛东北赛区开战', '鲁能泰山俱乐部严厉处罚郝伟', '萨马兰奇在洛桑会见袁熙坤', '萨马兰奇给袁熙坤的感谢信', '由朱刚猝死说到医务监督', '科学部署  实现突破']",8
2001/01/05,星期五,12,9,129,假日生活,"['2001年：个性旅游  初成气候', '京沪沿线美食单', '京沪高速旅游推荐线路', '京沪高速旅游带 呼之欲出', '多点免费开放公园', '广州：香港街市请进来', '武汉：游玩线路进商场', '上海：“女宾楼层”新卖点', '吉林：赶着牛车打手机', '新婚选在新世纪', '换个方式走天下']",11
2001/01/05,星期五,12,10,129,假日生活,"['劈波斩浪  新年有约', '博大精深  外柔内刚', '申奥情  暖严冬', '世纪体坛风起云涌', '李英镐──“石佛”守护神', '阴差阳错', '中国体育四大战役', '早锻炼  早得益']",8
2001/01/05,星期五,12,11,129,假日生活,"['耻辱戒指', '文化融会与文明冲突', '雕塑集萃', '布洛涅森林里的脚步', '新世纪第一缕曙光', '礼貌用语', '“先战斗  再弹奏”', '疯牛病何以肆虐欧洲']",8
2001/01/05,星期五,12,12,129,广告,['广告'],1
2001/01/06,星期六,8,1,89,要闻,"['请君下水如何？', '去年我国农业发展预期目标基本实现', '新世纪更需加强农业基础', '胡锦涛抵达伊朗', '以“三个代表”重要思想为指导推进司法改革确保司法公正', '嘉陵摩托车产销量突破千万辆', '去年新增固定电话户占世界一半', '大庆连续25年年产原油5000万吨', '中央农村工作会议在京召开', '北京地区天气预报']",10
2001/01/06,星期六,8,2,89,要闻,"['中国社科院考古研究所电唁张光直病逝', '民政工作要努力实践“三个代表”重要思想', '在反腐斗争中更好地发挥职能作用', '中宣部农业部向西部贫困乡镇赠书', '把创建五好家庭工作抓紧抓实', '钱其琛分别会见国民党新党“三通参访团”', '全国侨办主任会议在京举行', '李炳才会见国民党新党“三通参访团”', '吴邦国会见芬兰客人', '布赫会见意大利客人', '成思危率团赴智利', '唐家璇离京出访六国', '公共政策分析理论体系将建立', '龙卡六城市可通用', '牡丹国际卡逾十万', '“紫丁香”轮架起中韩海上通道', '图片报道', '在京全国人大代表听取七部委工作汇报']",18
2001/01/06,星期六,8,3,89,国际,"['欧盟将调查北约贫铀弹危害', '法致力建立多极世界', '忧虑少子老龄化', '图片报道', '美联储再降贴现率', '法国财长看好欧元', '东京日元汇率暴跌', '欧佩克将减产原油', '图片报道', '南共体迈向一体化', '俄指责美违反军控条约', '布什新政府四大特色', '巴西政府实行电子办公', '英国欢迎我高科技企业', '日本研制出超级钢', '一颗彗星将飞掠地球', '印尼人口超过二亿', '南非开展禁烟运动']",18
2001/01/06,星期六,8,4,89,综合,"['中国篮协自评联赛半程', '张璇战胜杨晖获得冠军', '李欣当选亚自联副主席', '烟台全民健身活动有声有色', '排坛痛忆朱刚', '全国青少年学校足球工作座谈会将召开', '伏明霞将参加第九届全运会', '中国青年足球队开始热身', '王明远同志逝世', '李焕同志逝世', '李登嵩同志逝世', '明天气象预报', '中央农村工作会议在京召开']",13
2001/01/06,星期六,8,5,89,电脑·网络·通信,"['通信技术  开创数字化时代', '宽带网络  信息时代高速路', '网络媒体  崛起势头不可当', '数字广播  聆听缤纷新世纪', '软件产业  迎来发展好时机', '门户网站  浇筑起飞新跑道', '掌上电脑  网络让你更轻松', '网中之网  诠释网络新内涵', '网络应用  抢占双重制高点', '拥抱新世纪  加速信息化']",10
2001/01/06,星期六,8,6,89,摄影,"['寒冷的天  温暖的心', '聚焦生命', '牛羊“选美”会', '学知识  爱科学', '内昆铁路起高桥']",5
2001/01/06,星期六,8,7,89,大地·副刊,"['风水学是一门学科？', '金哲和他的诗', '世纪开篇', '21世纪序曲：中国·前进', '粒粒皆辛苦', '福斯特：精品迭出的建筑巨匠', '延安赏剪纸', '吃了黄米糕，行事步步高', '飞龙在天']",9
2001/01/06,星期六,8,8,89,大地·作品,"['放飞“太阳鸟”之后', '叩响明天的门环', '阳光节日', '越南老诗人保定江', '金蛇狂舞', '愿望']",6
2001/01/07,星期日,4,1,47,要闻,"['福建基本实现国企扭亏目标', '贵州国企脱困目标基本实现', '广东国有企业开始冲出困境', '北方地区普降瑞雪', '胡锦涛与伊朗第一副总统会谈', '南开大学命名“周恩来班”', '雪域高原“三下乡”', '打假与打邪', '通力合作  再创辉煌', '文艺春天  万紫千红', '石秀诗代理贵州省省长', '陆浩任甘肃省代省长', '北京地区天气预报', '奏响发展主旋律']",14
2001/01/07,星期日,4,2,47,要闻,"['萨达姆在伊电视台露面', '瑞士冻结密特朗长子存款', '泰国举行下院大选', '北铁分局春运准备就绪', '《邓小平论侨务》出版座谈会在京举行', '联合国评估贫铀弹危害', '突出抓好农民增收和粮食安全', '做好新世纪侨务工作', '日本政府机构新体制启动', '俄“和平”号空间站将坠入太平洋', '《华夏故土地图》推广活动在台湾取土', '沈国放做客人民网《强国论坛》', '书香飘溢冰雪节', '奏响发展主旋律', '胡锦涛与伊朗第一副总统会谈']",15
2001/01/07,星期日,4,3,47,综合新闻,"['大海一样的深情', '吉林省认真解决督查工作问题', '河南全面排查火灾与安全隐患', '冬夜，这里正红火', '大连两年为国企追债十六亿元', '宁夏加紧人才培养', '充分发挥基层党组织在思想政治工作中的战斗堡垒作用', '图片报道', '云南出严令造就高素质政法队伍']",9
2001/01/07,星期日,4,4,47,大地·评论,"['东方戏剧的崛起与世界戏剧流向', '时空更迭中的电视艺术', '高墙夹隙里的生命状态', '《中关村进行曲》情牵“中国硅谷”', '《姚雪垠传》近日出版', '香港散文诗研讨会举行', '平凡中的英雄', '春归天地', '新世纪：文学还好吗？']",9
2001/01/08,星期一,12,1,133,要闻,"['揭穿李洪志及其“法轮功”的险恶政治用心', '胡锦涛拜会伊朗总统哈塔米', '青海经济步入快车道', '小平家乡通了高速路', '西康铁路正在验收', '北京地区天气预报', '我超高密度信息存储研究再突破', '肩负民族的希望', '小书屋牵动大草原']",9
2001/01/08,星期一,12,2,133,国内要闻,"['小书屋牵动大草原', '拉萨成为我国优秀旅游城市', '工资拿多拿少  职工有权说话', '职工的权利', '深圳首份工资集体协商协议诞生', '淮河水质基本实现2000年达标', '新疆撤销127项行政审批项目', '青岛旅游收入突破百亿', '1月10日凌晨将出现月全食', '我国有了大型教育资源库', '安徽破获特大假军人贩假案', '禁“白”难以推行  治“疾”尚待法规', '宁少收入不乱罚  宝应交警自律严', '用电无奈高收费  农民再点煤油灯', '购买商品磁不消  商场疑盗两搜身']",15
2001/01/08,星期一,12,3,133,国际,"['德采取措施打击右翼极端分子', '勃兰登堡州爆发反极右大游行', '和解日看种族和解', '胡锦涛会见哈什米', '贫铀弹危害震惊欧洲', '克林顿观看大熊猫', '傅全有结束访希', '美国国会正式确认布什当选下届总统', '遏制霍乱蔓延南非', '调查巴尔干综合征', '泰大选初步揭晓', '泰爱泰党何以胜出', '巴坚持和谈立场  以接受美国建议']",13
2001/01/08,星期一,12,4,133,要闻,"['明天气象预报', '学习会上议党风', '主动与被动', '傅全有结束对三国访问回到北京', '田纪云会见俄罗斯客人', '《求是》杂志举行《关于改进党的作风》座谈会', '全国法院加大反腐倡廉力度', '去年办实事20件  百姓高兴', '明令禁止乱检查  基层欢迎', '江西省委省政府号召向潘堃同志学习', '《中国都市报研究文丛》出版座谈会在京举行', '王志均院士病逝', '江定仙同志逝世', '图片报道', '坚持从严治部  切实加强组织部门自身建设']",15
2001/01/08,星期一,12,5,133,国民经济,"['军队CDMA移交中国联通', '国家粮库再扩容', '辽宁国企改革脱困如期完成', '企业家信心保持稳定', '储蓄分流何处去', '铁通挺进电信市场', '北京国税收入突破600亿元', '“神州第一营业部”再创佳绩', '实时航空气象警报系统运行', '石家庄地税清欠两千多万', 'TCL空调中山有限公司投产', '光大银行海通证券签署协议', '北京房山城建集团公司成立', '国际展览和会议展将举行', '天马服饰俏销大西北', '图片报道', '图片报道']",17
2001/01/08,星期一,12,6,133,教育·科技·文化,"['肩负民族的希望', '《新世纪现代汉语词典》出版', '春节北京龙潭庙会有创新', '液体肥料追肥器节省水肥', '《中国古代兵事名言》书法集发行', '科学与人文教育亟待加强', '传统文化迎候激情', '衡水农村建起阅报栏', '千家企业实现达标排放', '环境恶化趋势得到控制', '图片报道', '谐波传动  试验基地诞生', '铁路系统发起“火车头绿色行动”']",13
2001/01/08,星期一,12,7,133,国际,"['埃及新年新交规', '宇宙中有“影子星系”', '美发布基因指导新方针', '昆虫一些基因与人类相同', '从蜘蛛毒液提取抗心律失常药物', '人们将在1月10日凌晨看到新世纪首次月全食', '委内瑞拉经济复苏', '从迷你网到因特网']",8
2001/01/08,星期一,12,8,133,体育,"['象棋电视快棋赛再战一场', '省港杯首回合踢成平局', '别朱刚', '中国选手郭伟勇夺金牌', '风雨八年改革路', '捷克卫冕  加拿大第三', '奥神走出连败  吉林主场首负']",7
2001/01/08,星期一,12,9,133,经济周刊,"['不拒微利', '何为  阶段性就业  弹性就业', '2001：中国经济继续看好', '2000年中国十大经济新闻', '百年十件经济大事', '3600亿元国债支撑基础设施建设', '深山护鸟情']",7
2001/01/08,星期一,12,10,133,经济周刊,"['证券化助推经济发展', '让更多市值流通起来', '以市场化促进市值增长', '市值增大  风险减少', '企盼股市蓝天', '正视4．6万亿中的泡沫', '新基金如何分红', '基金大分红159亿', '上交所股票市价总值增长图', '证券市场十年大跨越', '北京打造医药航母', '中国人寿推出新型分红保险', '有机构预测股市最高点在4月', '亚洲银行百强评出我囊括前四名', '深交所股票市价总值增长图', '怎么看4．6万亿股票市值']",16
2001/01/08,星期一,12,11,133,经济周刊,"['进入新世纪  再创新业绩', '城市建设迈向现代化', '对外开放不断扩大', '农业全面发展', '昆明工业经济持续快速发展', '展望新世纪·昆明']",6
2001/01/08,星期一,12,12,133,经济周刊,"['民航重组  何日柳暗花明', '“我家不想买辆出租车”', '如何打破中小企业担保瓶颈', '国企别松劲', '2000国有工业盈利知多少', '中国企业十大新闻揭晓', '图片报道']",7
2001/01/09,星期二,12,1,91,要闻,"['警惕西方敌对势力利用“法轮功”的政治图谋', '西康铁路通车运营', '在农村开展“三个代表”重要思想学习教育活动', '李鹏会见乌拉圭众议长', '坚定信心  乘势前进  迈好跨入新世纪第一步', '胡锦涛抵达伊斯法罕', '李岚清会见国际科学理事会主席', '北京地区天气预报', '江泽民在北京市考察工作']",9
